history_id,account_id,borrower_id,event_at,status,changed_by,source,recorded_at,snap_month,loan_type,dpd,risk_segment,outstanding_amount
HISTORY0047779,ACC0001227,BRW0006217,2026-08-08 20:48:24,PAID,AGT0000020,PAYMENT,2026-08-09 20:16:11,2026-08,PERSONAL,120,LOW,607583.58
HISTORY0024662,ACC0016378,BRW0009111,2026-08-08 20:48:04,ACTIVE,AGT0000077,CALL,2026-08-08 06:30:20,2026-08,CONSUMER,1,LOW,668338.37
HISTORY0047072,ACC0003431,BRW0003708,2026-08-08 20:43:27,PAID,AGT0000054,CALL,2026-08-09 04:16:33,2026-08,PERSONAL,1,LOW,231094.65
HISTORY0050470,ACC0029497,BRW0006302,2026-08-08 20:35:47,WRITEOFF,AGT0000017,CORE,2026-08-08 03:55:39,2026-08,BNPL,180,LOW,295416.51
HISTORY0025021,ACC0026116,BRW0003016,2026-08-08 20:34:43,PTP,AGT0000051,FIELD,2026-08-08 20:28:05,2026-08,PERSONAL,120,MEDIUM,659282.1
HISTORY0044268,ACC0023406,BRW0005117,2026-08-08 20:33:14,NPA,AGT0000091,BATCH,2026-08-08 20:04:34,2026-08,CONSUMER,180,HIGH,564591.41
HISTORY0045463,ACC0020493,BRW0000245,2026-08-08 20:32:36,PTP,AGT0000090,PAYMENT,2026-08-08 16:18:18,2026-08,PERSONAL,30,NPA,255844.92
HISTORY0047242,ACC0025844,BRW0004036,2026-08-08 20:22:39,CLOSED,AGT0000071,CORE,2026-08-08 13:27:28,2026-08,PERSONAL,15,MEDIUM,627588.97
HISTORY0023050,ACC0015201,BRW0010470,2026-08-08 20:14:42,CLOSED,AGT0000085,BATCH,2026-08-08 06:13:49,2026-08,PERSONAL,5,LOW,239481.52
HISTORY0019829,ACC0025578,BRW0004795,2026-08-08 20:07:04,CLOSED,AGT0000016,BATCH,2026-08-08 17:43:51,2026-08,PERSONAL,30,HIGH,414834.07
HISTORY0050123,ACC0019156,BRW0003595,2026-08-08 20:05:49,NPA,AGT0000064,CORE,2026-08-08 06:31:51,2026-08,AUTO,45,HIGH,315185.99
HISTORY0012951,ACC0013907,BRW0003200,2026-08-08 20:01:55,CLOSED,AGT0000053,CORE,2026-08-09 01:47:01,2026-08,PERSONAL,180,LOW,289724.73
HISTORY0015729,ACC0024190,BRW0010700,2026-08-08 19:56:11,WRITEOFF,AGT0000075,PAYMENT,2026-08-08 20:24:38,2026-08,PERSONAL,15,HIGH,209364.66
HISTORY0050299,ACC0021907,BRW0000244,2026-08-08 19:54:29,ACTIVE,AGT0000045,FIELD,2026-08-08 17:50:05,2026-08,CONSUMER,1,HIGH,529399.42
HISTORY0001306,ACC0015176,BRW0008446,2026-08-08 19:46:33,PAID,AGT0000023,CORE,2026-08-09 02:42:20,2026-08,BNPL,30,HIGH,10392.02
HISTORY0003636,ACC0012079,BRW0003957,2026-08-08 19:42:42,WRITEOFF,AGT0000047,BATCH,2026-08-08 21:25:00,2026-08,AUTO,45,MEDIUM,161782.97
HISTORY0012989,ACC0007702,BRW0003940,2026-08-08 19:35:01,ACTIVE,AGT0000003,CALL,2026-08-09 03:30:33,2026-08,BNPL,1,NPA,606593.37
HISTORY0026972,ACC0001063,BRW0005350,2026-08-08 19:28:19,PTP,AGT0000093,FIELD,2026-08-09 04:56:11,2026-08,BNPL,75,MEDIUM,224031.92
HISTORY0004693,ACC0010906,BRW0006610,2026-08-08 19:27:01,CLOSED,AGT0000017,BATCH,2026-08-07 22:04:33,2026-08,PERSONAL,120,NPA,637396.2
HISTORY0012603,ACC0009197,BRW0011731,2026-08-08 19:23:54,PAID,AGT0000026,CORE,2026-08-09 08:47:34,2026-08,CREDIT_CARD,90,HIGH,42030.64
HISTORY0003468,ACC0012851,BRW0002406,2026-08-08 19:15:48,ACTIVE,AGT0000031,CORE,2026-08-09 10:26:41,2026-08,AUTO,0,HIGH,411907.24
HISTORY0022230,ACC0024386,BRW0009318,2026-08-08 19:04:41,PTP,AGT0000095,CALL,2026-08-08 08:59:03,2026-08,AUTO,60,LOW,207929.83
HISTORY0042678,ACC0026414,BRW0003383,2026-08-08 18:59:14,ACTIVE,AGT0000020,CALL,2026-08-08 21:18:31,2026-08,CREDIT_CARD,0,HIGH,363873.69
HISTORY0058228,ACC0021938,BRW0011435,2026-08-08 18:52:34,DELINQUENT,AGT0000023,CALL,2026-08-09 12:19:01,2026-08,AUTO,75,MEDIUM,572472.55
HISTORY0054202,ACC0022974,BRW0009341,2026-08-08 18:47:45,WRITEOFF,AGT0000014,PAYMENT,2026-08-08 02:59:24,2026-08,PERSONAL,1,HIGH,595975.94
HISTORY0046723,ACC0007111,BRW0004278,2026-08-08 18:46:05,PAID,AGT0000038,BATCH,2026-08-09 02:16:51,2026-08,CONSUMER,60,MEDIUM,641745.25
HISTORY0039428,ACC0016403,BRW0001105,2026-08-08 18:43:18,WRITEOFF,AGT0000097,PAYMENT,2026-08-07 20:57:41,2026-08,CONSUMER,45,HIGH,542150.07
HISTORY0028932,ACC0007204,BRW0002779,2026-08-08 18:41:31,ACTIVE,AGT0000087,BATCH,2026-08-09 06:45:55,2026-08,PERSONAL,30,MEDIUM,515997.48
HISTORY0032115,ACC0010656,BRW0007693,2026-08-08 18:32:18,WRITEOFF,AGT0000090,FIELD,2026-08-08 18:02:44,2026-08,BNPL,15,NPA,252417.32
HISTORY0024436,ACC0018619,BRW0004866,2026-08-08 18:20:30,DELINQUENT,AGT0000022,CALL,2026-08-08 21:57:33,2026-08,AUTO,30,NPA,641542.43
HISTORY0059309,ACC0024551,BRW0000606,2026-08-08 18:04:20,PTP,AGT0000033,PAYMENT,2026-08-09 14:11:17,2026-08,CREDIT_CARD,30,NPA,156686.29
HISTORY0013365,ACC0020697,BRW0005699,2026-08-08 18:04:07,ACTIVE,AGT0000061,CALL,2026-08-08 02:35:22,2026-08,BNPL,0,HIGH,340051.0
HISTORY0042197,ACC0009062,BRW0006558,2026-08-08 17:54:42,ACTIVE,AGT0000089,BATCH,2026-08-09 16:35:49,2026-08,CONSUMER,45,HIGH,240191.25
HISTORY0031052,ACC0001594,BRW0002045,2026-08-08 17:51:45,DELINQUENT,AGT0000050,FIELD,2026-08-09 10:17:37,2026-08,BNPL,1,NPA,676792.34
HISTORY0038698,ACC0029607,BRW0001338,2026-08-08 17:46:23,PAID,AGT0000099,FIELD,2026-08-08 03:07:49,2026-08,PERSONAL,45,HIGH,369013.95
HISTORY0001818,ACC0015888,BRW0002721,2026-08-08 17:45:41,CLOSED,AGT0000064,PAYMENT,2026-08-08 20:03:22,2026-08,PERSONAL,15,NPA,8230.58
HISTORY0055382,ACC0018881,BRW0001825,2026-08-08 17:40:12,PAID,AGT0000035,BATCH,2026-08-08 02:44:56,2026-08,AUTO,1,LOW,69176.17
HISTORY0051314,ACC0014554,BRW0011408,2026-08-08 17:34:15,DELINQUENT,AGT0000020,CORE,2026-08-07 21:11:28,2026-08,CREDIT_CARD,30,LOW,362788.68
HISTORY0054822,ACC0015597,BRW0005374,2026-08-08 17:33:16,PAID,AGT0000046,PAYMENT,2026-08-08 04:06:07,2026-08,PERSONAL,120,MEDIUM,292944.93
HISTORY0022046,ACC0007657,BRW0005864,2026-08-08 17:30:05,PAID,AGT0000073,FIELD,2026-08-09 07:02:22,2026-08,CONSUMER,60,HIGH,87006.65
HISTORY0012386,ACC0016329,BRW0010575,2026-08-08 17:25:10,ACTIVE,AGT0000003,BATCH,2026-08-08 19:52:36,2026-08,AUTO,0,MEDIUM,107359.12
HISTORY0010862,ACC0018844,BRW0005437,2026-08-08 17:22:46,ACTIVE,AGT0000026,PAYMENT,2026-08-09 11:47:58,2026-08,CREDIT_CARD,75,HIGH,249778.37
HISTORY0004228,ACC0002155,BRW0002208,2026-08-08 17:18:34,PAID,AGT0000073,PAYMENT,2026-08-08 19:28:39,2026-08,AUTO,75,HIGH,41222.93
HISTORY0007864,ACC0014323,BRW0005243,2026-08-08 16:57:58,DELINQUENT,AGT0000017,BATCH,2026-08-08 01:45:58,2026-08,CONSUMER,75,LOW,679227.43
HISTORY0041293,ACC0018087,BRW0009452,2026-08-08 16:54:01,WRITEOFF,AGT0000097,CORE,2026-08-09 00:31:55,2026-08,CONSUMER,45,LOW,159837.18
HISTORY0039231,ACC0006206,BRW0006921,2026-08-08 16:50:59,PAID,AGT0000014,BATCH,2026-08-08 12:49:45,2026-08,PERSONAL,60,LOW,505600.97
HISTORY0048238,ACC0008529,BRW0001672,2026-08-08 16:48:18,ACTIVE,AGT0000065,PAYMENT,2026-08-08 05:20:15,2026-08,CONSUMER,90,NPA,515572.47
HISTORY0009628,ACC0020270,BRW0004873,2026-08-08 16:39:53,PTP,AGT0000017,BATCH,2026-08-08 21:20:24,2026-08,CONSUMER,30,LOW,344744.27
HISTORY0034162,ACC0011734,BRW0007787,2026-08-08 16:33:06,NPA,AGT0000035,CALL,2026-08-09 09:43:04,2026-08,CREDIT_CARD,5,HIGH,508606.58
HISTORY0058113,ACC0011364,BRW0008261,2026-08-08 16:26:35,CLOSED,AGT0000088,BATCH,2026-08-08 06:50:13,2026-08,AUTO,0,NPA,585998.22
HISTORY0046619,ACC0008890,BRW0007891,2026-08-08 16:21:21,ACTIVE,AGT0000041,FIELD,2026-08-08 07:18:01,2026-08,BNPL,0,HIGH,149770.95
HISTORY0049248,ACC0013929,BRW0009887,2026-08-08 16:18:01,PAID,AGT0000100,PAYMENT,2026-08-07 17:28:36,2026-08,PERSONAL,180,HIGH,214325.81
HISTORY0043989,ACC0011146,BRW0007546,2026-08-08 16:15:34,NPA,AGT0000014,CORE,2026-08-08 04:33:49,2026-08,CONSUMER,5,MEDIUM,256579.55
HISTORY0050302,ACC0026333,BRW0006669,2026-08-08 16:12:22,ACTIVE,AGT0000053,CORE,2026-08-08 06:55:57,2026-08,PERSONAL,75,HIGH,9193.38
HISTORY0011279,ACC0013836,BRW0006880,2026-08-08 16:09:14,WRITEOFF,AGT0000035,CALL,2026-08-08 20:01:55,2026-08,AUTO,30,LOW,258626.0
HISTORY0005806,ACC0007789,BRW0004830,2026-08-08 16:00:39,DELINQUENT,AGT0000074,FIELD,2026-08-08 09:01:57,2026-08,AUTO,30,MEDIUM,470064.14
HISTORY0007905,ACC0028719,BRW0004126,2026-08-08 15:55:53,ACTIVE,AGT0000024,FIELD,2026-08-08 14:43:36,2026-08,AUTO,1,LOW,364618.41
HISTORY0016163,ACC0015904,BRW0011130,2026-08-08 15:49:45,WRITEOFF,AGT0000013,CORE,2026-08-08 15:22:16,2026-08,BNPL,120,MEDIUM,117787.61
HISTORY0004580,ACC0003514,BRW0009655,2026-08-08 15:45:27,WRITEOFF,AGT0000020,CORE,2026-08-09 06:53:13,2026-08,CONSUMER,15,NPA,74627.65
HISTORY0049436,ACC0012621,BRW0002537,2026-08-08 15:44:22,NPA,AGT0000059,CALL,2026-08-08 12:34:16,2026-08,CREDIT_CARD,30,NPA,287906.19
HISTORY0033728,ACC0000213,BRW0007287,2026-08-08 15:41:44,PAID,AGT0000044,PAYMENT,2026-08-09 06:27:21,2026-08,AUTO,15,HIGH,228095.34
HISTORY0003572,ACC0008500,BRW0009851,2026-08-08 15:36:51,PAID,AGT0000078,BATCH,2026-08-09 01:36:23,2026-08,AUTO,1,LOW,635414.4
HISTORY0029812,ACC0010460,BRW0004260,2026-08-08 15:29:55,NPA,AGT0000055,CORE,2026-08-08 08:34:32,2026-08,CREDIT_CARD,0,LOW,403794.01
HISTORY0039739,ACC0013845,BRW0003906,2026-08-08 15:14:07,CLOSED,AGT0000014,CALL,2026-08-09 08:32:04,2026-08,AUTO,90,LOW,148893.06
HISTORY0002388,ACC0003041,BRW0001162,2026-08-08 15:10:32,NPA,AGT0000096,CORE,2026-08-08 05:22:07,2026-08,CREDIT_CARD,120,LOW,42133.78
HISTORY0015942,ACC0012279,BRW0003232,2026-08-08 15:07:02,PAID,AGT0000097,CORE,2026-08-08 04:43:39,2026-08,CONSUMER,90,NPA,556593.65
HISTORY0036603,ACC0011609,BRW0004067,2026-08-08 15:00:23,PTP,AGT0000059,BATCH,2026-08-08 14:54:06,2026-08,PERSONAL,180,LOW,543042.63
HISTORY0014279,ACC0014184,BRW0010242,2026-08-08 14:48:13,ACTIVE,AGT0000009,FIELD,2026-08-08 19:05:49,2026-08,PERSONAL,5,MEDIUM,380426.51
HISTORY0057594,ACC0003980,BRW0005254,2026-08-08 14:40:27,PAID,AGT0000098,FIELD,2026-08-07 16:31:30,2026-08,CONSUMER,30,NPA,252759.76
HISTORY0011854,ACC0009517,BRW0000206,2026-08-08 14:40:13,DELINQUENT,AGT0000034,CORE,2026-08-08 05:40:53,2026-08,CREDIT_CARD,0,HIGH,42325.19
HISTORY0026672,ACC0015108,BRW0004410,2026-08-08 14:40:02,WRITEOFF,AGT0000055,BATCH,2026-08-09 00:50:03,2026-08,CONSUMER,180,MEDIUM,327887.74
HISTORY0051815,ACC0023286,BRW0002051,2026-08-08 14:36:23,DELINQUENT,AGT0000091,CORE,2026-08-09 07:28:02,2026-08,BNPL,90,HIGH,585596.29
HISTORY0015872,ACC0003197,BRW0010323,2026-08-08 14:30:27,WRITEOFF,AGT0000094,PAYMENT,2026-08-07 18:03:55,2026-08,PERSONAL,90,MEDIUM,126984.45
HISTORY0057863,ACC0015294,BRW0011467,2026-08-08 14:29:29,CLOSED,AGT0000017,BATCH,2026-08-08 18:36:59,2026-08,CONSUMER,75,NPA,197076.93
HISTORY0045300,ACC0001471,BRW0000337,2026-08-08 14:28:54,NPA,AGT0000025,PAYMENT,2026-08-07 17:37:24,2026-08,PERSONAL,1,HIGH,484639.78
HISTORY0045773,ACC0019734,BRW0002302,2026-08-08 14:20:16,ACTIVE,AGT0000014,FIELD,2026-08-08 20:46:21,2026-08,BNPL,60,NPA,94873.36
HISTORY0052074,ACC0020047,BRW0011875,2026-08-08 14:14:31,ACTIVE,AGT0000046,BATCH,2026-08-09 03:17:14,2026-08,AUTO,0,MEDIUM,637710.88
HISTORY0022148,ACC0006329,BRW0007337,2026-08-08 14:10:55,CLOSED,AGT0000021,FIELD,2026-08-09 02:48:34,2026-08,CREDIT_CARD,60,MEDIUM,18458.02
HISTORY0058308,ACC0004720,BRW0003567,2026-08-08 14:03:59,NPA,AGT0000044,CALL,2026-08-08 18:58:11,2026-08,PERSONAL,1,HIGH,246654.15
HISTORY0047525,ACC0024093,BRW0000678,2026-08-08 13:40:11,ACTIVE,AGT0000030,CORE,2026-08-08 00:22:13,2026-08,PERSONAL,15,HIGH,400581.5
HISTORY0015888,ACC0009689,BRW0008963,2026-08-08 13:33:22,WRITEOFF,AGT0000058,PAYMENT,2026-08-07 15:15:39,2026-08,CONSUMER,1,MEDIUM,163194.52
HISTORY0036116,ACC0005615,BRW0011343,2026-08-08 13:30:51,ACTIVE,AGT0000099,PAYMENT,2026-08-08 21:56:55,2026-08,CREDIT_CARD,0,HIGH,522868.4
HISTORY0053613,ACC0012774,BRW0008439,2026-08-08 13:30:05,PAID,AGT0000073,CALL,2026-08-08 00:55:58,2026-08,BNPL,30,LOW,133672.08
HISTORY0017689,ACC0027591,BRW0002311,2026-08-08 13:21:17,PTP,AGT0000013,FIELD,2026-08-09 03:24:05,2026-08,CONSUMER,0,HIGH,512925.94
HISTORY0013215,ACC0002111,BRW0010129,2026-08-08 13:19:07,PAID,AGT0000014,PAYMENT,2026-08-07 15:10:57,2026-08,CONSUMER,90,LOW,173563.08
HISTORY0054979,ACC0015878,BRW0008017,2026-08-08 13:17:09,WRITEOFF,AGT0000031,BATCH,2026-08-08 14:51:26,2026-08,AUTO,75,LOW,198991.86
HISTORY0046855,ACC0020441,BRW0006680,2026-08-08 13:14:31,CLOSED,AGT0000082,CALL,2026-08-09 12:24:08,2026-08,CONSUMER,60,LOW,462726.14
HISTORY0023355,ACC0015872,BRW0005032,2026-08-08 13:08:27,DELINQUENT,AGT0000026,BATCH,2026-08-09 04:55:22,2026-08,CREDIT_CARD,45,LOW,319830.27
HISTORY0037357,ACC0012312,BRW0008783,2026-08-08 12:54:16,DELINQUENT,AGT0000096,BATCH,2026-08-09 03:31:15,2026-08,CREDIT_CARD,180,MEDIUM,282942.84
HISTORY0016761,ACC0003711,BRW0003188,2026-08-08 12:52:08,PTP,AGT0000039,CALL,2026-08-07 23:50:03,2026-08,BNPL,180,MEDIUM,511182.93
HISTORY0008847,ACC0003601,BRW0003334,2026-08-08 12:45:09,ACTIVE,AGT0000039,PAYMENT,2026-08-08 20:48:19,2026-08,PERSONAL,0,LOW,110004.21
HISTORY0004697,ACC0021641,BRW0011091,2026-08-08 12:40:15,ACTIVE,SYSTEM,PAYMENT,2026-08-07 15:58:17,2026-08,BNPL,5,LOW,562142.65
HISTORY0019474,ACC0005018,BRW0000056,2026-08-08 12:31:28,PAID,AGT0000030,BATCH,2026-08-09 10:16:02,2026-08,CREDIT_CARD,0,LOW,331379.64
HISTORY0052205,ACC0028828,BRW0005023,2026-08-08 12:24:46,CLOSED,AGT0000058,CORE,2026-08-07 13:24:17,2026-08,CREDIT_CARD,30,HIGH,96979.15
HISTORY0015249,ACC0006718,BRW0009029,2026-08-08 12:11:10,PTP,AGT0000035,CORE,2026-08-08 22:02:12,2026-08,CONSUMER,120,LOW,519702.23
HISTORY0027632,ACC0024082,BRW0009858,2026-08-08 12:10:25,PTP,SYSTEM,FIELD,2026-08-09 05:43:56,2026-08,CONSUMER,15,HIGH,423484.58
HISTORY0047148,ACC0024243,BRW0006526,2026-08-08 12:08:22,DELINQUENT,AGT0000087,PAYMENT,2026-08-09 01:16:57,2026-08,CONSUMER,45,MEDIUM,46101.22
HISTORY0054592,ACC0003414,BRW0004280,2026-08-08 12:01:39,WRITEOFF,AGT0000056,CALL,2026-08-07 16:49:48,2026-08,PERSONAL,180,MEDIUM,82852.48
HISTORY0042110,ACC0016548,BRW0004381,2026-08-08 11:59:17,DELINQUENT,AGT0000074,BATCH,2026-08-07 15:42:49,2026-08,AUTO,120,NPA,627673.16
HISTORY0048862,ACC0015026,BRW0006943,2026-08-08 11:46:41,CLOSED,AGT0000011,BATCH,2026-08-08 15:54:44,2026-08,BNPL,75,LOW,445343.67
HISTORY0022481,ACC0004770,BRW0010409,2026-08-08 11:44:18,ACTIVE,AGT0000098,CORE,2026-08-09 11:16:26,2026-08,CREDIT_CARD,30,HIGH,680145.56
HISTORY0030894,ACC0024136,BRW0002932,2026-08-08 11:40:47,CLOSED,AGT0000096,CORE,2026-08-08 13:49:59,2026-08,BNPL,30,HIGH,617013.37
HISTORY0021426,ACC0003698,BRW0007492,2026-08-08 11:26:01,DELINQUENT,AGT0000047,CALL,2026-08-09 00:34:49,2026-08,BNPL,180,LOW,412667.9
HISTORY0037136,ACC0022147,BRW0007264,2026-08-08 11:22:03,PAID,AGT0000100,FIELD,2026-08-08 02:06:11,2026-08,BNPL,75,MEDIUM,325291.55
HISTORY0022715,ACC0029209,BRW0001070,2026-08-08 11:20:50,CLOSED,AGT0000098,CALL,2026-08-08 23:54:35,2026-08,CONSUMER,120,NPA,410769.83
HISTORY0056219,ACC0024547,BRW0004444,2026-08-08 11:19:52,WRITEOFF,AGT0000006,BATCH,2026-08-09 05:48:15,2026-08,AUTO,120,LOW,677088.42
HISTORY0004884,ACC0026568,BRW0011479,2026-08-08 11:17:58,PTP,AGT0000052,BATCH,2026-08-09 06:51:36,2026-08,PERSONAL,1,LOW,139687.75
HISTORY0019557,ACC0010705,BRW0007424,2026-08-08 10:58:25,NPA,AGT0000004,CORE,2026-08-08 23:30:15,2026-08,PERSONAL,1,NPA,75472.64
HISTORY0031440,ACC0028994,BRW0006690,2026-08-08 10:54:12,PTP,AGT0000070,FIELD,2026-08-09 03:11:59,2026-08,CONSUMER,90,HIGH,263211.5
HISTORY0001108,ACC0003736,BRW0001690,2026-08-08 10:50:35,WRITEOFF,AGT0000031,CORE,2026-08-08 21:02:53,2026-08,CONSUMER,30,NPA,437095.0
HISTORY0028760,ACC0016206,BRW0000193,2026-08-08 10:49:48,PTP,AGT0000054,CALL,2026-08-08 19:30:32,2026-08,BNPL,60,NPA,270723.84
HISTORY0042896,ACC0014455,BRW0000479,2026-08-08 10:47:08,PTP,AGT0000005,BATCH,2026-08-08 07:06:10,2026-08,PERSONAL,0,NPA,524274.55
HISTORY0043617,ACC0019677,BRW0002808,2026-08-08 10:37:15,PTP,AGT0000014,CALL,2026-08-07 10:50:28,2026-08,CONSUMER,45,MEDIUM,605877.21
HISTORY0012166,ACC0007584,BRW0006398,2026-08-08 10:36:05,CLOSED,AGT0000082,PAYMENT,2026-08-08 06:48:00,2026-08,AUTO,15,LOW,509909.59
HISTORY0016522,ACC0002822,BRW0000934,2026-08-08 10:27:19,PAID,AGT0000061,BATCH,2026-08-08 16:10:34,2026-08,BNPL,30,HIGH,636640.49
HISTORY0039937,ACC0005183,BRW0000120,2026-08-08 10:27:13,CLOSED,AGT0000006,BATCH,2026-08-08 21:14:48,2026-08,AUTO,180,MEDIUM,617187.55
HISTORY0046807,ACC0027178,BRW0008796,2026-08-08 10:26:08,NPA,AGT0000031,BATCH,2026-08-08 21:14:48,2026-08,CONSUMER,120,MEDIUM,635281.61
HISTORY0013480,ACC0010088,BRW0004752,2026-08-08 10:18:04,ACTIVE,AGT0000067,BATCH,2026-08-08 12:24:32,2026-08,CONSUMER,0,HIGH,651223.59
HISTORY0023306,ACC0020930,BRW0008168,2026-08-08 10:12:42,PAID,AGT0000026,BATCH,2026-08-08 00:38:44,2026-08,BNPL,60,MEDIUM,7735.75
HISTORY0008409,ACC0008631,BRW0000969,2026-08-08 10:09:43,CLOSED,AGT0000059,CALL,2026-08-08 16:36:40,2026-08,PERSONAL,90,LOW,88617.85
